"School Name","Session Date",Question
"Wallisdean Junior School",07/12/2020,"Looking back at the term in school, which of these has helped you the most? ?"
"Willington School",07/12/2020,"Who do you think should receive the vaccine first? ?"
"Hardwick Green Primary Academy",07/12/2020,"Now there is a successful Covid-19 vaccine, who should get it first?"
"Manor Junior School",06/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"Colville Primary School",06/12/2020,"Who is your 2020 hero and why?"
"Littlegreen School",06/12/2020,"The government have 4 words that show what is most valued about living in Britain (British Values), which do you think is the most important?"
"Manchester Enterprise Academy",06/12/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"Stogursey Church of England Primary",05/12/2020,"We have a Christmas Postbox.  How do we want to give Christmas Cards this year?"
"Cockburn School",04/12/2020,"As Christmas approaches we would like to support a charity by having a fun event on the last day of term. Which would you prefer?"
"Valence Primary School",04/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"The Park School",04/12/2020,"Looking back at the term in school, which of these has helped you most?"
"The Mill Primary Academy",04/12/2020,"As you know, the Covid vaccines are being made in batches. The government may already have an idea of how this will be given and who will get the vaccine first. For example, they might decide to give it to people who are 80 years old or above first or they might decide to give it to the NHS staff (Doctors and nurses) who are more exposed first. What is your opinion? Discuss in your groups who should be given the priority out of the following options: Famous and rich people, older people and people that are ill, NHS staff, or younger people. Who do you think should get the vaccine first?"
"New bridge Group",04/12/2020,"Looking back at the term in college ,which of these has helped you the most?"
"Plantation Primary",04/12/2020,"Looking back at this term in school, which of these has helped you the most?"
"Pembrokeshire Learning Centre",04/12/2020,"Looking back at this term, which of these have helped you the most? ?"
"Uffculme School",04/12/2020,"Which charity do you think we should support with donations from our Christmas themed non-uniform day?"
"British International School Budapest",04/12/2020,"In the end of term assembly, would you like either a...?"
"Coronavirus Daily Debate",04/12/2020,"Which is the best Christmas film?"
"Green Park Primary School",04/12/2020,"Should families spend this Christmas together?"
"Tangmere Primary Academy",04/12/2020,"As part of the Christmas celebrations we will be performing a whole school lip-sync Christmas song.  Which song should we lip-sync to?"
"Portfield Primary Academy",03/12/2020,"Which piece of art should win the Mrs Pelling Art Award?  ?"
"Georgeham CofE Primary School",03/12/2020,"What behaviour gets in the way of your learning in class?"
"Richard Alibon Primary School",03/12/2020,"How can we relaunch house points?"
"Botwell House Catholic Primary School",03/12/2020,"What way can we as a school continue to show our appreciation for the NHS?"
"Bronte Girls' Acadmey",03/12/2020,"Is Christmas a religious celebration or just part of the culture of British society?"
"Sankey Valley St James CE Primary School",03/12/2020,"Now we know there are successful Covid 19 vaccines, who do you think should get them first and why?"
"Orminston Herman Academy",03/12/2020,"Do you know what Brexit means?"
"Dixons Manningham Primary",02/12/2020,"What do Councillors want to achieve this year?"
"Kyla School",02/12/2020,"Should we get new playground equipment? ?"
"Georgeham CofE Primary School",01/12/2020,"Where should we try and improve our behaviour?"
"Clara Grant Primary School",01/12/2020,"Who is your 2020 hero and why?"
"Bourton Meadow Academy",01/12/2020,"What school-based activities would you like to do this year?  These should be non-money related and be 'experiences' for the school to enjoy. They can be linked to 'awareness' or 'celebration' days/weeks but should not involve raising money for the school or charities.?"
"Penwortham Girls' High School",01/12/2020,"For you, what is the most important part of Christmas?"
"Denbigh Primary School",01/12/2020,"What are your thoughts on the current bubble situation at Denbigh?"
d'Overbroeck's,01/12/2020,"   Are you looking forward to the holidays? ?"
"St. Francis School",01/12/2020,"What playground equipment would you most like to have?"
"Hawthorns Primary",01/12/2020,"How often do you have breakfast before school?"
"Astrea Academy Dearne",01/12/2020,"How good is the food we serve in school and why?"
"George White Junior School",30/11/2020," Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"Lime Academy Larkswood",30/11/2020,"Should schools close a week earlier for the Christmas holiday?"
"Dame Allans Junior School",30/11/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"St James' CE Primary Haydock",30/11/2020,"What would make the school lunches even better?"
"St Gregory's Catholic Primary School",30/11/2020,"Now we know there may be successful vacines for Covid-19, who should get them first and why?"
Hanover,30/11/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"Ryecroft Academy",30/11/2020,"What equipment would you like on the playgrounds ?"
"Valence Primary School",30/11/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"Painters Ash Primary School",30/11/2020,"Now that we know a COVID vaccine is available, do you think school staff should have it first? ?"
"Pembrokeshire Learning Centre",30/11/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"Feversham Academy",30/11/2020,"What would you like to see the student council focus on for the next term?"
"Blackheath Prep",30/11/2020,"Which of the following ideas would you like to see on your timetable:?"
"Woodheys Primary School",30/11/2020,"Should the school introduce a healthy drink & snack policy?"
"Willington School",30/11/2020,"Are you happy with the Christmas activities?"
"British International School Budapest",30/11/2020,"At the end of the week, Mikulas will be visting...do you think your class deserves virgacs or chocolate? Be prepared to explain or persuade!?"
"The Mill Primary Academy",29/11/2020,"Last week we asked you about the biggest change in your life since Covid and we focused on the negative side. This week is the second part to this two-part question, the more positive side! As you know….. ‘Sometimes events that seem bad, direct us on the path to the best things that will ever happen to us!’ Question: What is the BEST thing that has happened to you since Covid?  Is it seeing your household more? Is it that you are using your imagination to entertain yourself as you can-not go out with your friends as much, so you are maybe playing or even making games at home? Is it spending time in your garden? Or is it that you are not in as much of a rush as you used to be, you have more time and can slow down?"
"Manor Junior School",29/11/2020,"Due to the restrictions of Covid, we are asking families not to send Christmas cards into school. Which of these alternatives would you like to do instead?"
"Colville Primary School",29/11/2020,"Which language would be good to learn in an after school club?"
"Morven Park Primary School",28/11/2020,"What is the best thing about Christmas at school?"
"Harrow Gate Primary Academy",28/11/2020,"Should we have rewards for good attendance each half term?"
"Isleworth Town",28/11/2020,"Do you think our school supports pupils who  have a disability?"
"Grove Primary School",27/11/2020,"Who is your 2020 hero?"
"New bridge Group",27/11/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first and why?"
"Danecourt school",27/11/2020,"What can we eat to stay healthy?"
"Manchester Enterprise Academy",27/11/2020,"Do you learn more now you don't have to move across the buildings/room to room?"
"Heath Mount School",27/11/2020,"Failing at something....?"
"Grove Road Primary School",27/11/2020,"Do you think that there is bullying in our school?"
"St Elizabeth's Catholic Primary School",26/11/2020,"During Advent we would like to put our faith into action and support a local group who provide support for people in need. Who would you like to support this year? ?"
"Cliffe Woods Primary School",26/11/2020,"Who is your hero of 2020?"
"Sankey Valley St James CE Primary School",26/11/2020,"Should families spend this Christmas together?"
"Bronte Girls' Acadmey",25/11/2020,"This week in the news there was great news about a vaccine for COVID-19. Who do you think should be the first people to receive the vaccine?"
"Balaam Wood Academy",25/11/2020,"Would you like a space in school one night a week dedicated to y11 that you can complete revision,coursework or homework in?"
"Orminston Herman Academy",25/11/2020,"What do you think we could do to encourage students at OHA to read more? - Tick your preference?"
"Stopsley Community Primary School",25/11/2020,"What is the best way to learn your times tables?"
"Danecourt school",25/11/2020,"What can we do to stay healthy?"
"Kingswood House School",25/11/2020,"Should we have more themed lunches at lunch time?"
"Hawthorns Primary",25/11/2020,"Should we be allowed to spend Christmas with your extended family?"
"Crownfield Junior School",25/11/2020,"Who is your 2020 hero and why?"
"Winston Way Academy",24/11/2020,"How can we improve our playground?"
d'Overbroeck's,24/11/2020,"What should the prize be for the Christmas Costume Competition happening later this term?"
"Edward Peake Middle School",24/11/2020,"What would you like to have in the EP Reading Shed?"
"Halley Primary School",24/11/2020,"What should the Communication Team focus on first?"
"Burnage Academy for Boys",23/11/2020,"What genre of book would you like to read next for period 1 reading?"
"Manford Primary School",23/11/2020,"As a school what can we do to help protect our environment?"
"Carshalton Boys Sports College",23/11/2020,"As a school, how can we support your mental wellbeing throughout lockdown 2 and beyond?"
"Sheringham Primary School",23/11/2020,"Out of the following options, what would you most like the school to improve?"
"Clifton Hampden CE Primary School",23/11/2020,"Who is your 2020 hero and why?"
"The Smallberry Green Primary School",23/11/2020,"Who is your 2020 hero and why?"
"Lime Academy Larkswood",23/11/2020,"Who is your hero of 2020 and why?"
"Plantation Primary",23/11/2020,"Who is your hero of 2020 and why? ?"
"Willington School",23/11/2020,"Do you think that the display boards in your classrooms are helpful to your learning?"
"Hardwick Green Primary Academy",23/11/2020,"Should people be allowed to spend Christmas with their families this year?"
"Woodheys Primary School",23/11/2020,"Should families be allowed to spend time together at Christmas?"
"New bridge Group",23/11/2020,"Who is your 2020 hero and why?"
"Harrow Gate Primary Academy",23/11/2020,"Should families be allowed to spend Christmas together and mix with people they don't live with?"
"St Gabriel's Catholic Primary Academy",23/11/2020,"Who would you go to about bullying in school?"
"British International School Budapest",23/11/2020,"What would you like as a reward for the house team who wins the most merit points at the end of a term?"
"Manchester Enterprise Academy",22/11/2020,"Should families spend this Christmas together?"
"George White Junior School",20/11/2020,"Who is your 2020 hero and why? ?"
"Valence Primary School",20/11/2020,"QUESTION: IS BORIS JOHNSON LEADING THE COUNTRY WELL?"
"The Mill Primary Academy",20/11/2020,"This week we will ask you the first part of a two-part question. Next week will be the second part. Discuss in your groups the following question: What is the biggest change in your life since Covid?"
"Ashford Park Primary School",20/11/2020,"Which charity do you think we should support next half term?"
"Hanley Castle High School",20/11/2020,"Who are your 2020 heroes?"
"West Boldon Primary School",20/11/2020,"What do you think is the best way for you to submit your ideas to the school council?"
"Glory Farm School",20/11/2020,"what theme shall we choose for our next bench?"
"The Hart School",19/11/2020,"'Make Your Mark' is an opportunity for 11-18 year olds through the UK Youth Parliament, to have their say and begin their democratic journey by voting on the policies they want to introduce or change. Pick ONE topic most affecting young people across the UK?"
"Colville Primary School",19/11/2020,"Should families spend this Christmas together?"
"Sankey Valley St James CE Primary School",19/11/2020,"How much do you enjoy home learning?"
"Haveley Hey",19/11/2020,"How often do you see bullying in our school playground? ?"
"Whitegate Primary and Nursery School",19/11/2020,"Should Schools stay open over lockdown?"
"Pembrokeshire Learning Centre",18/11/2020,"Do you feel the PLC Logo accurately represents to purpose of the school? ?"
"Freehold Community Primary Academy",18/11/2020,"What should our school newspaper be called?"
"Elm Wood Primary School",18/11/2020,"How would you feel/did you feel when the year bubble burst?"
"Denbigh Primary School",17/11/2020,"What activities would you like to do on Wellbeing and Reflection day?"
"Hawthorns Primary",17/11/2020,"What type of bullying is the worst?"
"St James' CE Primary Haydock",17/11/2020,"Should schools remain open during a Lockdown?"
"Bedonwell Junior School",17/11/2020,"Should schools remain open during a lockdown?"
"Danecourt school",17/11/2020,"What is cyberbullying?"
"Belmont Junior School",17/11/2020,"Do you know the definition of bullying (4 things)?"
"Penwortham Girls' High School",17/11/2020,"What do you consider to be the most harmful form of bullying?"
"Clara Grant Primary School",17/11/2020,"Which charity do we want our school to support ?"
d'Overbroeck's,17/11/2020,"Do you feel that d'Overbroeck's deals with bullying well?"
"St Mary's Saffron Walden",17/11/2020,"How would you like to raise money for WWF (World Wildlife Fund)? ?"
"West Boldon Primary School",16/11/2020,"Do you feel safe and happy to be back at school?"
"Graham School",16/11/2020,"What would you like to be able to 'spend' your rewards stamps on? ?"
"Hannah Ball School",16/11/2020,"What should we refer our school council as?"
"George White Junior School",16/11/2020,"Should schools remain open during lockdown? ?"
"Scarcroft Primary School",16/11/2020,"Should schools remain open during a lockdown?"
Hanover,16/11/2020,"Should schools remain open during a lockdown?"
"Ashford Park Primary School",16/11/2020,"What activity will your class complete for Anti-Bullying Week?"
"Hardwick Green Primary Academy",16/11/2020,"If we made and sent Christmas cards to the community, who would you like to send them to?"
"Lime Academy Larkswood",16/11/2020,"As we head into winter, we will have more wet play. What games would you like to play in the classroom? Add more options in the actions.?"
"Shibden Head Primary Academy",16/11/2020,"Should school remain open during a lockdown? ?"
"Kingswood House School",16/11/2020,"Should we bring back the suggestions box? (for boys to make suggestions and school council can discuss) ?"
"Willington School",16/11/2020,"Should we use google classroom more?"
"Norwich Primary Academy",16/11/2020,"This week is Anti Bullying week. What can we do at NPA to raise awareness of Antibullying week?"
"Manor Junior School",15/11/2020,"If you are a bully, you will always be a bully. True or false?"
"Colville Primary School",15/11/2020,"Scientists think they have made a vaccine that could prevent 90% of people from getting COVID-19. When a vaccine is approved, should everyone be made get it?"
"Harrow Gate Primary Academy",15/11/2020,"Should schools remain open in the lockdown?"
"Wallisdean Infant School",14/11/2020,"We are not far from getting 300 power stars. What would you like as our next power star reward?"
"Isleworth Town",14/11/2020,"This week is Anti-Bullying Week and this links to Article 12 - Respecting the view of the child. So we would like to ask you if you think our school has a bullying issue.?"
"Manchester Enterprise Academy",14/11/2020,"Do you think bullying has increased online since Covid?"
"British International School Budapest",13/11/2020,"The paper plane competition was successful and we have been asked for more competitions. What type of competition would you like to see next?"
"Valence Primary School",13/11/2020,"Should schools remain open during a lockdown?"
"The Mill Primary Academy",13/11/2020,"What is the best thing that we do at the Mill to keep ourselves safe?"
"Copeland Road Primary School",13/11/2020,"Which member of staff would you like to ask questions to next time?"
"New bridge Group",13/11/2020,"How do you consider your mental wellbeing now being back at college? ?"
"St Gregory's Catholic Primary School",13/11/2020,"Should schools remain open during a lockdown?"
"Botwell House Catholic Primary School",13/11/2020,"What positive thing can do we as a school need continue to do when COVID goes away?"
"Stormont House School",12/11/2020,"What kind of bullying bothers you most?"
"Grove Primary School",12/11/2020,"If you could bake a cake for ANYONE this week who would you give it to?"
"Pembrokeshire Learning Centre",12/11/2020,"Do you feel the PLC Logo accurately represents the purpose/aim of the school? ?"
"WHGS Primary",12/11/2020,"Is Mr Carr unreplacable? ?"
"Bronte Girls' Acadmey",11/11/2020,"Anti-bullying week is next week. What do you think the most effective way to report bullying would be? ?"
"Tangmere Primary Academy",11/11/2020,"When the pandemic is over, how would you like the world to be different?"
"Finham Primary School",11/11/2020,"How did you feel about Diwali Day on Friday?"
"Sankey Valley St James CE Primary School",11/11/2020,"Which mindfulness activity do you like to use the most to support your wellbeing?"
"All Saints CE Primary School",11/11/2020,"Now you're back in school, how safe do you feel?"
"St. Francis School",11/11/2020,"What are you looking forward to most about the end of lockdown?"
"Pembrokeshire Learning Centre",11/11/2020,"Do you feel the PLC Logo accurately represents to purpose of the school? ?"
"Penwortham Girls' High School",10/11/2020,"Have you visited the cenotaph in your local area? Do you know where it is?"
"Hawthorns Primary",10/11/2020,"Should we raise money for children in need at school?"
"Clara Grant Primary School",10/11/2020,"In light of the recent USA election, what do you think is the most important mark of great leadership?"
"Snodland Primary School",10/11/2020,"Do you feel safe in school?"
d'Overbroeck's,10/11/2020,"Do you think it's important for family to spend time together this Christmas?"
"Ryecroft Academy",09/11/2020,"Do you think families should be able to spend Christmas together ?"
"Lime Academy Larkswood",09/11/2020,"Should we always speak up if someone is being bullied?"
"Marlborough Primary",09/11/2020,"Should families spend this Christmas together?"
"Danecourt school",09/11/2020,"Why do we raise money for ‘Children in need’?"
"Heath Mount School",09/11/2020,"What is the best way to show kindness to someone? ?"
Hanover,09/11/2020,"Should families spend this Christmas together?"
"The Smallberry Green Primary School",09/11/2020,"If you could add one person to your year group bubble, who would it be and why?"
"St. Mary's Church of England Academy",09/11/2020,"What is the best way for you to learn and remember your times tables?"
"Hardwick Green Primary Academy",09/11/2020,"What could school do to raise money?"
"Willington School",09/11/2020,"Do you think that our book bags and bags are too heavy sometimes?"
"British International School Budapest",09/11/2020,"What is the most important characteristic for a good world leader to have?"
"Little Ealing Primary School",08/11/2020,"What is the most important characteristic for a good world leader to have?"
"Shibden Head Primary Academy",08/11/2020,"Should families spend this Christmas together?  ?"
"Manford Primary School",08/11/2020,"What is the most important characteristic for a good world leader to have?"
"Colville Primary School",08/11/2020,"Last week, Joe Biden was elected as the new President of America. What is the most important characteristic for a good world leader to have?"
"Barden Primary School",08/11/2020,"How should we raise money for Children in Need this year?"
"Ormiston Denes Academy",08/11/2020,"What enrichment activities would you like available to you?"
"Holy Family Catholic Primary School",08/11/2020,"What qualities does a great leader need?"
"Harrow Gate Primary Academy",08/11/2020,"Next week is anti-bullying week. Do you know how to get help if you feel worried about people bullying us?"
"Morven Park Primary School",08/11/2020,"What is the most important characteristic for a good world leader to have?"
"St James' CE Primary Haydock",07/11/2020,"How tasty are the lunches in school?"
"George White Junior School",06/11/2020,"Should families spend this Christmas together? ?"
"Valence Primary School",06/11/2020,"Should families spend this Christmas together?"
"The Mill Primary Academy",06/11/2020,"How are you feeling about returning back with your class after being off during lockdown? Discuss!?"
"The Park School",06/11/2020,"What resources would you like for the classroom now the weather is getting colder and we might have to stay in at breaks?"
"New bridge Group",06/11/2020,"What makes you happy at college?"
"Lansdown Park Academy - Rush Hill",06/11/2020,"Each year, Stormzy funds students from minority backgrounds to attend Cambridge University. Should successful celebrities to do more to help young people? ?"
"Shrewsbury Academy",06/11/2020,"What is the best way to encourage reading in school?"
"Thomas Tallis School",06/11/2020,"What is the easiest way for you to hand in homework?"
"Ravensbury Community School",05/11/2020,"Do you feel safe in school?"
"Alexandra Primary School",05/11/2020,"Teacher Question: From this term, we are setting up our Smart School Council. What is most important to you?"
"Knowles Primary School",05/11/2020,"Do you feel children at Knowles Primary School respect the indoor and outdoor environment?"
"Bronte Girls' Acadmey",05/11/2020,"Your assessments are starting over the next couple of weeks. What do you think the best way to revise is? ?"
"Sankey Valley St James CE Primary School",05/11/2020,"What is the most important characteristic for a good world leader to have?"
"St Gabriel's Catholic Primary Academy",05/11/2020,"Next Wednesday is Remembrance Day. How could we remember all people that have died in wars in our classroom?"
"Llwyncrwn Primary School",04/11/2020,"What is the most important characteristic for a good world leader to have?"
"Bedonwell Junior School",04/11/2020,"What is the most important characteristic for a good world leader to have? ?"
"Manor Junior School",04/11/2020,"Who is your lockdown hero and why?"
"Hawthorns Primary",04/11/2020,"What would you like on your bagels?"
"Buttsbury Infant School",04/11/2020,"What is the most important feature of the SMART council?"
Hanover,03/11/2020,"It is the Presidential election in the USA this week. What is the most important characteristic for a world leader to have?"
"St. Michael with St. John CE Primary School",03/11/2020,"Do you feel that the School Council currently ensure that YOUR voice is heard?"
"Wallisdean Junior School",03/11/2020,"What should we have for our 500 star treat?"
"Sacred Heart RC Primary School",03/11/2020,"How can we make our school more environmentally friendly?"
d'Overbroeck's,03/11/2020,"What is the best way to try to make our school greener?"
"Sandbach High School &amp; Sixth Form College",03/11/2020,"Who would you go to about bullying in school? Once you have completed the survey could you suggest ways in which we could do more to Stamp Out Bullying.?"
"Willington School",03/11/2020,"Should we increase the Covid-19 rules in the school to make it an even safer environment?"
"Lime Academy Larkswood",03/11/2020,"What makes someone an everyday hero?"
"Elm Wood Primary School",02/11/2020,"How would you feel if staff wore masks outside the classroom?"
"Blackheath Prep",02/11/2020,"What would you like the Year 6 House Teams to focus on this term?"
"Shibden Head Primary Academy",02/11/2020,"What is the most important characteristic for a good world leader to have? ?"
"George White Junior School",02/11/2020,"What is the most important characteristic for a good world leader to have?"
"Nine Acres Primary School",02/11/2020,"Is there too much food waste at lunch time? ?"
"Pembrokeshire Learning Centre",02/11/2020,"What items do you think would sell well at a Christmas Craft Fayre? ?"
"New Bridge School",02/11/2020,"Would you like to like to wear non-uniform for Children in Need day?"
"Wootton Park School",02/11/2020,"What types of clubs would you like to see more of next term?"
"Hardwick Green Primary Academy",02/11/2020,"What characteristic makes a good leader?"
"Loreto High School",02/11/2020,"How can Loreto become a more environmentally friendly school?"
"Queen Mary's Grammar School",02/11/2020,"Which topic do you think is most important to cover during our annual Mental Health Week in February 2021?"
"Shrewsbury Academy",01/11/2020,"Do agree with the government’s decision to keep schools open during the second lockdown?"
"Copeland Road Primary School",31/10/2020,"What would you like us to focus on this half term?"
"The Park School",30/10/2020,"What is the most important characteristic for a good world leader to have?"
"British International School Budapest",30/10/2020,"It is children's week on November 20th. To mark the day, Laurent and the kitchen staff will cook the most popular meal of YOUR choice?"
"Colville Primary School",30/10/2020,"IF YOU WERE THE PRIME MINISTER FOR A DAY, WHAT WOULD YOU DO AND WHY?"
"Harrow Gate Primary Academy",29/10/2020,"What is the most important characteristic for a good world leader to have?"
"Alderman Bolton Primary School",28/10/2020,"What was the best thing about learning at home?"
"Manchester Enterprise Academy",28/10/2020,"How can we reduce litter both in and out of the Academy?"
"Morven Park Primary School",27/10/2020,"Looking back on half term, what have you enjoyed the most? ?"
"Brimington Junior School",23/10/2020,"How can we be more environmentally friendly as a school?"
"New bridge Group",23/10/2020,"Behaviors in college are ?"
"Valence Primary School",23/10/2020,"Should bottled water be banned?"
"Glory Farm School",22/10/2020,"Who would you like to have in your school bubble?"
"Danecourt school",22/10/2020,"How can we stay safe on Bonfire night?"
"Clara Grant Primary School",22/10/2020,"Do you feel safe around the school?"
"Bronte Girls' Acadmey",22/10/2020,"This week, the government imposed tier 3 lockdown on Greater Manchester despite the local councils not wanting it. Was the government right to do this?"
"Isleworth Town",22/10/2020,"Article 13 - Every child must be free to express their thoughts and opinions. So our question this week is how do you like to express yourself? ?"
"Cliffe Woods Primary School",22/10/2020,"What makes you happy at school?"
"Grove Primary School",21/10/2020,"What makes you happy at school? ?"
"William Hulme's Grammar School (sec)",21/10/2020,"To celebrate Black History Month who is your favourite role model?"
"St Gregory's Catholic Primary School",21/10/2020,"In what ways can we show kindess?"
"Danecourt school",21/10/2020,"How can we stop passing germs?"
"Audenshaw School",21/10/2020,"Has your school participated in a national observation project this year (e.g. RSPB Big Bird Watch, Big Butterfly Hunt, The Pod’s What’s Under Your Feet)?"
"Penwortham Girls' High School",21/10/2020,"Which STEAM subject do you think will prepare you best to get a job in the future?"
"Hawthorns Primary",20/10/2020,"Do you think families should be allowed to go trick or treating this year?"
"Mawney Foundation School",20/10/2020,"What is the best way to make our school more environmentally friendly??"
"St Elizabeth's Catholic Primary School",20/10/2020,"We have two new rooms in our school. The room next to Year 4 is used for interventions, what should we call this room? ?"
d'Overbroeck's,20/10/2020,"If the school started a litter picking club at lunch time, would you participate for 2 house points per lunch time? ?"
"George White Junior School",19/10/2020,"What makes you happy at school?"
"Lime Academy Larkswood",19/10/2020,"One school in Cornwall have successfully campaigned for future red noses to be changed from plastic to a more sustainable material. Is selling red noses a good way to raise money?"
"Hardwick Green Primary Academy",19/10/2020,"What do we want to achieve in school?"
"Woodheys Primary School",19/10/2020,"If you were allowed to have one extra person in your family bubble who would it be?"
"Wenlock C of E Junior School",19/10/2020,"What do you enjoy most about being back at school?"
"Wenlock C of E Junior School",19/10/2020,"What can our first Class Meeting question be?"
"Valence Primary School",19/10/2020,"What are you most enjoying about being back at school?"
"Manford Primary School",18/10/2020,"What makes you happy at school?"
"Manchester Enterprise Academy",18/10/2020,"What Children in Need merchandise should we buy?"
"Marlborough Primary",18/10/2020,"If you could bake anyone a gift right now who would you give it to?"
"Holy Family Catholic Primary School",18/10/2020,"What would you like the prize for the most tokens to be?"
